epoch,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,epoch_time
1,0.17444390956594774,0.6512263947641662,0.9482618938384346,0.17240899925430617,0.6942937504128814,0.9492888339933531,238.0955240726471
2,0.16594417582659965,0.7211495440558512,0.948727961898936,0.1661494361857573,0.7541046496680545,0.9488113277221041,294.89834904670715
3,0.16190160430828146,0.7504404361996893,0.9488890830839141,0.15867510562141737,0.765095913570128,0.9493206677447698,228.5721354484558
4,0.15882421613419648,0.7678904842563121,0.9491011804630095,0.15859601274132729,0.7763536041348086,0.9493525014961863,234.90622782707214
5,0.1563058513798846,0.7815075934017831,0.9492623016479875,0.15723873302340508,0.7803545128507994,0.9487030929672876,233.75637578964233
6,0.15426772637953093,0.7914150885645919,0.9494580138218309,0.15431210647026697,0.7937962856402286,0.9494989367527027,228.55739545822144
7,0.15191527653998638,0.8039162601153454,0.9495699793910529,0.15541033198436102,0.7898139976809287,0.9491805992385367,230.13715147972107
8,0.15009544937345393,0.8111677269891491,0.9498831188692024,0.15548214937249819,0.7938805112947532,0.9488813619752207,232.70885133743286
9,0.14825043731961876,0.820738427453148,0.950015110800399,0.15415692081054053,0.7981565672954645,0.9488940954757873,226.07283473014832
10,0.1457749811633389,0.8302567898364509,0.9504383952694092,0.15476176142692566,0.7972562142317292,0.9490723644837202,225.43597674369812
